"60017 L $$aNewton, Isaac$$d1643-1727$$2resource",(DE-588)118587544
"1001  L $$aVarignon, Pierre$$d1654-1722$$eAutor$$4aut",(DE-588)119062372
"60017 L $$aEuler, Leonhard$$d1707-1783$$2resource",(DE-588)118531379
"7001  L $$aEuler, Leonhard$$d1707-1783$$eAdressat$$4rcp",(DE-588)118531379
"60017 L $$aMoivre, Abraham de$$d1667-1754$$2resource",(DE-588)117586765
"7001  L $$aVarignon, Pierre$$d1654-1722$$eAdressat$$4rcp",(DE-588)119062372
"60017 L $$aVarignon, Pierre$$d1654-1722$$2resource",(DE-588)119062372
"60017 L $$aPoleni, Giovanni$$d1683-1761$$2resource",(DE-588)11887733X
"60017 L $$aTaylor, Brook$$d1685-1731$$2resource",(DE-588)118801481
"7001  L $$aBourguet, Louis$$d1678-1742$$eAdressat$$4rcp",(DE-588)116298553
"60017 L $$aMairan, Jean Jacques Dortous de$$d1678-1771$$2resource",(DE-588)11931035X
"60017 L $$aHuygens, Christiaan$$d1629-1695$$2resource",(DE-588)118639749
"1001  L $$aBousquet, Marc-Michel$$d1696-1762$$eAutor$$4aut",(DE-588)136952968
"1001  L $$aMairan, Jean Jacques Dortous de$$d1678-1771$$eAutor$$4aut",(DE-588)11931035X
"60017 L $$aMaupertuis-von Borck, Eleonore$$2resource",(DE-588)115595338X
"7001  L $$aGoldbach, Christian$$d1690-1764$$eAdressat$$4rcp",(DE-588)118696149
"60017 L $$aRenau d'Eliçagaray, Bernard$$d1652-1719$$2resource",(DE-588)102079056
"1001  L $$aGoldbach, Christian$$d1690-1764$$eAutor$$4aut",(DE-588)118696149
"1001  L $$aMerian, Johann Bernhard$$d1723-1807$$eAutor$$4aut",(DE-588)172811724
"60017 L $$aRiccati, Jacopo$$d1676-1754$$2resource",(DE-588)119543885
"7001  L $$aMairan, Jean Jacques Dortous de$$d1678-1771$$eAdressat$$4rcp",(DE-588)11931035X
"1001  L $$aEuler, Leonhard$$d1707-1783$$eAutor$$4aut",(DE-588)118531379
"60017 L $$aBignon, Jean-Paul$$d1662-1743$$2resource",(DE-588)120052539
"60017 L $$aBouguer, Pierre$$d1698-1758$$2resource",(DE-588)117622974
"1001  L $$aPoleni, Giovanni$$d1683-1761$$eAutor$$4aut",(DE-588)11887733X
"60017 L $$aJallabert, Jean$$d1712-1768$$2resource",(DE-588)100289665
"60017 L $$aWerenfels, Samuel$$d1657-1740$$2resource",(DE-588)12209025X
"60017 L $$aWolff, Christian$$d1679-1754$$2resource",(DE-588)118634771
"60017 L $$aNicole, François$$d1683-1758$$2resource",(DE-588)117584401
"60017 L $$aMerian, Johann Bernhard$$d1723-1807$$2resource",(DE-588)172811724
"60017 L $$aPassavant, Daniel$$d1722-1799$$2resource",(DE-588)1015904726
60007 L $$aMontmort-Romicourt$$cMme de$$2resource,(DE-588)1155965140
"60017 L $$aJurin, James$$d1684-1750$$2resource",(DE-588)119507978
"60017 L $$aRéaumur, René Antoine Ferchault de$$d1683-1757$$2resource",(DE-588)118749420
"60017 L $$aHuber, Johann Jakob$$d1733-1798$$2resource",(DE-588)13763868X
"60017 L $$aWettstein, Johann Caspar$$d1695-1760$$2resource",(DE-588)140645292
60007 L $$aBirr$$cBanquier in Paris$$2resource,(DE-588)1153519720
"60017 L $$aGolovkin, Alexander$$cGraf$$d1688-1760$$2resource",(DE-588)1155969200
"60017 L $$aDescartes, René$$d1596-1650$$2resource",(DE-588)118524844
"60017 L $$aFouchy, Jean Paul Grandjean de$$d1707-1788$$2resource",(DE-588)116821833
"60017 L $$aRocques, Pierre$$d1685-1748$$2resource",(DE-588)12115002X
60007 L $$aWaldegrave$$cenglischer Edelmann$$2resource,(DE-588)115598157X
"60017 L $$aCheyne, George$$d1671-1742$$2resource",(DE-588)117659606
"60017 L $$aMalebranche, Nicolas$$d1638-1715$$2resource",(DE-588)118576682
"60017 L $$aRaillard, Jeremias$$d1691-1744$$2resource",(DE-588)1132220874
"60017 L $$aScheuchzer, Johann Jakob$$d1672-1733$$2resource",(DE-588)118607308
"7001  L $$aJallabert, Jean$$d1712-1768$$eAdressat$$4rcp",(DE-588)100289665
60007 L $$aDeuchert$$2resource,
"60017 L $$aMorgagni, Giovanni Battista$$d1682-1771$$2resource",(DE-588)104265264
"60017 L $$aStirling, James$$d1692-1770$$2resource",(DE-588)117260266
"60017 L $$aLambert, Johann Heinrich$$d1728-1777$$2resource",(DE-588)118568876
"60017 L $$aWallis, John$$d1616-1703$$2resource",(DE-588)118771167
"7001  L $$aEuler, Johann Albrecht$$d1734-1800$$eAdressat$$4rcp",(DE-588)116610832
"1001  L $$aVincens-Petit, Marie de$$eAutor$$4aut",(DE-588)1154948226
"60017 L $$aBousquet, Marc-Michel$$d1696-1762$$2resource",(DE-588)136952968
"7001  L $$aGrandi, Guido$$d1671-1742$$eAdressat$$4rcp",(DE-588)118937669
"60017 L $$aAvaray, Claude Theophile de Béziade$$cMarquis d'$$d1655-1745$$2resource",(DE-588)1069190926
"60017 L $$aHermann, German$$d1648-1729$$2resource",(DE-588)1048628825
"60017 L $$aKeill, Jacob$$d1673-1719$$2resource",(DE-588)1055365613
"60017 L $$aMalesherbes, Chrétien-Guillaume de Lamoignon de$$d1721-1794$$2resource",(DE-588)118781413
"60017 L $$aSaurin, Joseph$$d1659-1737$$2resource",(DE-588)117619515
"7001  L $$aPoleni, Giovanni$$d1683-1761$$eAdressat$$4rcp",(DE-588)11887733X
"60017 L $$aArgenson, Marc Antoine René de Voyer d'$$d1722-1787$$2resource",(DE-588)12068859X
"60017 L $$aArnold, John$$dca. 1688-17uu$$2resource",(DE-588)1141832453
"60017 L $$aMoreau, René$$cSeigneur de Maupertuis, Vater von Pierre Louis Moreau de Maupertuis$$2resource",(DE-588)1156356024
"60017 L $$aRamspeck, Jakob Christoph$$d1722-1797$$2resource",(DE-588)121471640
"60017 L $$aAvaray, Catherine Angélique Foucault$$cMarquise d'$$d1662-1728$$2resource",(DE-588)1151672297
"60017 L $$aMaty, Matthew$$d1718-1776$$2resource",(DE-588)10103024X
"60017 L $$a'sGravesande, Willem Jacob$$d1688-1742$$2resource",(DE-588)118939297
"7001  L $$aBlumentrost, Laurentius$$d1692-1755$$eAdressat$$4rcp",(DE-588)117608629
"60017 L $$aBorelli, Giovanni Alfonso$$d1608-1679$$2resource",(DE-588)118659359
"60017 L $$aChrist, Franz$$d1688-1744$$2resource",(DE-588)140736662
"60017 L $$aCrusius, Johann Heinrich$$2resource",(DE-588)1156357152
"1001  L $$aFrézier, Amédée François$$d1682-1773$$eAutor$$4aut",(DE-588)117537373
